,userId,movieId,rating
0,0,0,4.0
1,0,1,4.0
2,0,2,4.0
3,0,3,5.0
4,0,4,5.0
5,0,5,3.0
6,0,6,5.0
7,0,7,4.0
8,0,8,5.0
10,0,9,5.0
11,0,10,5.0
12,0,11,3.0
13,0,12,5.0
14,0,13,4.0
15,0,14,5.0
16,0,15,3.0
17,0,16,3.0
18,0,17,5.0
19,0,18,4.0
20,0,19,4.0
21,0,20,5.0
22,0,21,4.0
24,0,22,4.0
25,0,23,5.0
26,0,24,4.0
27,0,25,3.0
28,0,26,5.0
29,0,27,4.0
30,0,28,4.0
31,0,29,5.0
32,0,30,4.0
33,0,31,4.0
34,0,32,4.0
35,0,33,5.0
36,0,34,5.0
37,0,35,3.0
38,0,36,5.0
39,0,37,3.0
40,0,38,4.0
41,0,39,3.0
42,0,40,3.0
44,0,41,5.0
45,0,42,5.0
52,0,43,5.0
53,0,44,5.0
55,0,45,5.0
56,0,46,5.0
57,0,47,4.0
58,0,48,5.0
59,0,49,4.0
60,0,50,5.0
61,0,51,5.0
62,0,52,5.0
63,0,53,4.0
64,0,54,5.0
65,0,55,5.0
66,0,56,4.0
67,0,57,5.0
68,0,58,5.0
69,0,59,5.0
70,0,60,5.0
71,0,61,5.0
72,0,62,4.0
73,0,63,5.0
74,0,64,5.0
75,0,65,4.0
76,0,66,2.0
77,0,67,5.0
78,0,68,5.0
81,0,69,5.0
82,0,70,5.0
83,0,71,3.0
84,0,72,4.0
85,0,73,5.0
86,0,74,5.0
87,0,75,5.0
88,0,76,5.0
89,0,77,5.0
90,0,78,5.0
92,0,79,3.0
93,0,80,3.0
94,0,81,3.0
97,0,82,4.0
98,0,83,5.0
99,0,84,4.0
100,0,85,5.0
101,0,86,3.0
102,0,87,5.0
103,0,88,5.0
105,0,89,5.0
106,0,90,3.0
107,0,91,3.0
108,0,92,5.0
109,0,93,4.0
112,0,94,4.0
115,0,95,5.0
116,0,96,4.0
117,0,97,4.0
118,0,98,5.0
119,0,99,4.0
120,0,100,5.0
121,0,101,4.0
123,0,102,4.0
125,0,103,4.0
126,0,104,5.0
127,0,105,5.0
130,0,106,5.0
131,0,107,4.0
133,0,108,4.0
134,0,109,5.0
136,0,110,5.0
137,0,111,5.0
140,0,112,5.0
141,0,113,4.0
142,0,114,4.0
144,0,115,4.0
145,0,116,4.0
146,0,117,5.0
147,0,118,5.0
149,0,119,5.0
150,0,120,4.0
153,0,121,5.0
154,0,122,4.0
156,0,123,5.0
159,0,124,5.0
160,0,125,4.0
162,0,126,5.0
163,0,127,3.0
164,0,128,5.0
165,0,129,5.0
166,0,130,5.0
167,0,131,5.0
169,0,132,4.0
170,0,133,2.0
171,0,134,4.0
172,0,135,4.0
173,0,136,5.0
177,0,137,3.0
178,0,138,5.0
179,0,139,5.0
180,0,140,5.0
181,0,141,5.0
182,0,142,4.0
183,0,143,4.0
184,0,144,5.0
185,0,145,5.0
187,0,146,4.0
188,0,147,5.0
189,0,148,5.0
190,0,149,5.0
191,0,150,5.0
192,0,151,5.0
193,0,152,4.0
194,0,153,5.0
195,0,154,5.0
196,0,155,5.0
197,0,156,4.0
198,0,157,5.0
199,0,158,5.0
200,0,159,5.0
203,0,160,5.0
204,0,161,4.0
205,0,162,1.0
207,0,163,3.0
208,0,164,5.0
209,0,165,5.0
210,0,166,5.0
214,0,167,5.0
215,0,168,5.0
217,0,169,4.0
218,0,170,4.0
219,0,171,5.0
220,0,172,4.0
222,0,173,5.0
223,0,174,5.0
224,0,175,5.0
226,0,176,4.0
228,0,177,5.0
229,0,178,4.0
231,0,179,5.0
232,1,180,3.0
233,1,17,4.0
234,1,181,4.5
235,1,171,4.0
236,1,182,4.0
237,1,183,3.5
238,1,184,4.0
239,1,185,4.0
240,1,186,4.5
241,1,187,5.0
242,1,188,4.5
243,1,189,3.0
244,1,190,4.0
246,1,191,4.0
247,1,192,4.5
251,1,193,3.5
252,1,194,2.5
253,1,195,3.5
254,1,196,5.0
255,1,197,3.0
256,1,198,4.0
258,1,199,3.5
259,1,200,5.0
261,2,201,0.5
262,2,26,0.5
263,2,202,0.5
265,2,203,0.5
266,2,204,5.0
267,2,205,0.5
268,2,206,0.5
270,2,207,0.5
271,2,208,0.5
272,2,74,3.5
273,2,209,0.5
274,2,210,3.0
275,2,87,4.5
276,2,100,0.5
277,2,211,0.5
279,2,108,2.0
280,2,212,4.0
281,2,213,0.5
284,2,214,0.5
285,2,175,5.0
286,2,215,0.5
299,2,216,0.5
300,3,217,3.0
301,3,218,2.0
302,3,219,3.0
303,3,3,2.0
304,3,220,3.0
305,3,221,3.0
313,3,222,5.0
316,3,13,2.0
317,3,223,3.0
318,3,14,5.0
319,3,224,5.0
320,3,15,1.0
322,3,225,5.0
323,3,226,4.0
324,3,227,4.0
326,3,228,3.0
327,3,229,4.0
329,3,22,1.0
331,3,23,5.0
332,3,230,5.0
334,3,231,1.0
336,3,232,1.0
337,3,29,2.0
338,3,233,4.0
339,3,32,5.0
340,3,234,3.0
342,3,34,5.0
343,3,35,3.0
344,3,235,4.0
348,3,236,5.0
349,3,237,4.0
350,3,238,4.0
351,3,239,4.0
352,3,240,5.0
353,3,241,5.0
354,3,242,5.0
355,3,205,5.0
356,3,41,5.0
357,3,243,5.0
360,3,43,4.0
363,3,49,2.0
364,3,50,4.0
365,3,244,5.0
366,3,245,2.0
367,3,51,5.0
368,3,246,5.0
369,3,247,5.0
370,3,248,3.0
372,3,57,5.0
373,3,249,4.0
374,3,250,1.0
375,3,251,5.0
376,3,58,5.0
377,3,59,5.0
378,3,60,3.0
379,3,252,2.0
380,3,253,5.0
382,3,64,4.0
383,3,66,4.0
384,3,254,4.0
385,3,255,5.0
386,3,256,4.0
387,3,72,4.0
388,3,257,4.0
390,3,76,5.0
392,3,258,4.0
393,3,77,4.0
394,3,259,3.0
395,3,260,1.0
396,3,261,5.0
397,3,262,4.0
398,3,82,4.0
399,3,83,4.0
400,3,86,3.0
401,3,263,1.0
402,3,88,2.0
403,3,264,4.0
404,3,181,1.0
406,3,92,4.0
411,3,265,4.0
415,3,266,3.0
418,3,267,3.0
419,3,268,5.0
421,3,96,5.0
422,3,269,4.0
423,3,270,2.0
424,3,271,4.0
425,3,105,5.0
426,3,272,4.0
427,3,273,3.0
428,3,274,5.0
429,3,113,5.0
430,3,275,5.0
434,3,276,1.0
435,3,277,2.0
437,3,278,4.0
439,3,121,3.0
440,3,122,4.0
442,3,130,1.0
444,3,279,5.0
445,3,134,1.0
446,3,280,4.0
447,3,138,5.0
448,3,281,2.0
449,3,282,4.0
450,3,283,1.0
451,3,284,2.0
452,3,285,5.0
454,3,144,5.0
458,3,151,2.0
460,3,156,4.0
461,3,157,4.0
466,3,286,4.0
467,3,287,1.0
468,3,162,4.0
470,3,288,4.0
471,3,289,4.0
474,3,166,4.0
475,3,290,4.0
476,3,291,2.0
477,3,169,1.0
482,3,178,3.0
484,3,292,4.0
485,3,293,3.0
486,3,294,4.0
487,3,295,4.0
488,3,296,3.0
489,3,297,1.0
492,3,298,3.0
495,3,299,5.0
500,3,300,2.0
501,3,301,5.0
502,3,302,4.0
506,3,303,1.0
509,3,304,1.0
513,3,305,4.0
516,4,0,4.0
517,4,217,4.0
518,4,306,4.0
519,4,307,4.0
520,4,308,3.0
521,4,4,4.0
522,4,221,5.0
523,4,7,4.0
524,4,309,3.0
525,4,310,3.0
527,4,223,5.0
528,4,311,3.0
529,4,312,4.0
530,4,224,3.0
531,4,313,1.0
533,4,15,5.0
534,4,314,3.0
535,4,16,2.0
536,4,180,3.0
537,4,315,3.0
538,4,18,3.0
539,4,228,2.0
540,4,316,3.0
541,4,21,4.0
542,4,317,2.0
543,4,318,3.0
544,4,23,4.0
545,4,319,4.0
546,4,230,5.0
547,4,320,3.0
548,4,26,5.0
549,4,321,4.0
551,4,233,4.0
552,4,322,3.0
553,4,30,5.0
554,4,31,3.0
555,4,323,5.0
556,4,234,5.0
557,4,33,5.0
558,4,324,3.0
559,4,34,3.0
560,5,325,4.0
561,5,1,5.0
563,5,326,5.0
564,5,2,4.0
565,5,327,4.0
567,5,328,3.0
568,5,329,4.0
571,5,330,4.0
572,5,331,4.0
573,5,332,2.0
574,5,217,2.0
575,5,333,5.0
576,5,334,4.0
577,5,335,3.0
580,5,201,3.0
581,5,218,4.0
